name,calories,protein,carbs,fat
Pui,165,31,0,3.6
Vita,250,26,0,15
Porc,242,27,0,14
Oaie,294,25,0,21
Curcan,189,29,0,7
Ou,155,13,1.1,11
Lapte,64,3.3,4.7,3.5
Unt,717,0.8,0.1,81
Branza,270,16,1,22
Orez,130,2.7,28,0.3
Grau,339,13.7,71,2.5
Ovaz,389,17,66,7
Porumb,365,9,74,4.7
Paine,265,9,49,3.2
Cartof,77,2,17,0.1
Fasole,139,10,25,0.5
Lentila,116,9,20,0.4
Mazare,81,5,14,0.4
Naut,164,9,27,2.6
Mar,52,0.3,14,0.2
Banana,89,1.1,23,0.3
Portocala,47,0.9,12,0.1
Rosie,18,0.9,3.9,0.2
Castravete,15,0.6,3.6,0.1
Ceapa,40,1.1,9,0.1
Morcov,41,0.9,10,0.2
Ardei,20,0.9,4.6,0.2
Varza,25,1.3,5.8,0.1
Ulei,884,0,0,100
Zahar,387,0,100,0